央视频道,#genre#
CCTV4美洲,http://222.128.86.76:8133/rtp/239.3.1.214:4220,0.62
CCTV4美洲,http://123.113.187.204:8000/rtp/239.3.1.214:4220,0.61
CCTV4美洲,http://123.113.189.90:8001/rtp/239.3.1.214:4220,0.61
CCTV4美洲,http://114.243.110.0:4000/rtp/239.3.1.214:4220,0.61
CCTV4美洲,http://222.129.139.229:8888/rtp/239.3.1.214:4220,0.61
CCTV4美洲,http://114.254.85.102:8888/rtp/239.3.1.214:4220,0.6
CCTV4美洲,http://60.10.106.114:555/rtp/239.253.93.193:6371,0.58
CCTV5,http://175.173.198.22:9009/rtp/232.0.0.171:1234,1.83
CCTV5,http://175.173.198.22:9010/rtp/232.0.0.171:1234,1.28
CCTV5,http://175.173.198.22:9020/rtp/232.0.0.171:1234,1.23
CCTV5,http://221.219.79.161:4000/rtp/239.3.1.173:8001,1.01
CCTV5,http://114.246.96.72:4000/rtp/239.3.1.173:8001,1.01
CCTV5,http://123.121.2.167:4000/rtp/239.3.1.173:8001,1.0
CCTV5,http://111.196.129.152:20000/rtp/239.3.1.173:8001,0.83
CCTV5,http://114.252.238.87:8000/rtp/239.3.1.173:8001,0.79
CCTV5,http://123.118.229.243:9090/rtp/239.3.1.173:8001,0.78
CCTV5,http://123.118.159.0:8686/rtp/239.3.1.173:8001,0.73
CCTV5,http://60.2.190.206:4000/rtp/239.253.92.181:6046,0.69
CCTV5,http://115.171.216.209:4000/rtp/225.1.8.89:8000,0.65
CCTV5,http://175.173.198.22:9001/rtp/232.0.0.171:1234,0.63
CCTV5,http://222.128.86.76:8133/rtp/239.3.1.173:8001,0.62
CCTV5,http://123.113.187.204:8000/rtp/239.3.1.173:8001,0.61
CCTV5,http://123.113.189.90:8001/rtp/239.3.1.173:8001,0.61
CCTV5,http://114.243.110.0:4000/rtp/239.3.1.173:8001,0.61
CCTV5,http://222.129.139.229:8888/rtp/239.3.1.173:8001,0.61
CCTV5,http://175.146.122.104:8888/rtp/232.0.0.171:1234,0.6
CCTV5,http://114.254.85.102:8888/rtp/239.3.1.173:8001,0.6
CCTV5,http://60.10.106.114:555/rtp/239.253.92.181:6046,0.58
CCTV5+,http://175.173.198.22:9009/rtp/232.0.0.93:1234,1.83
CCTV5+,http://175.173.198.22:9010/rtp/232.0.0.93:1234,1.28
CCTV5+,http://175.173.198.22:9020/rtp/232.0.0.93:1234,1.23
CCTV5+,http://221.219.79.161:4000/rtp/239.3.1.130:8004,1.01
CCTV5+,http://114.246.96.72:4000/rtp/239.3.1.130:8004,1.01
CCTV5+,http://123.121.2.167:4000/rtp/239.3.1.130:8004,1.0
CCTV5+,http://111.196.129.152:20000/rtp/239.3.1.130:8004,0.83
CCTV5+,http://114.252.238.87:8000/rtp/239.3.1.130:8004,0.79
CCTV5+,http://123.118.229.243:9090/rtp/239.3.1.130:8004,0.78
CCTV5+,http://123.118.159.0:8686/rtp/239.3.1.130:8004,0.73
CCTV5+,http://60.2.190.206:4000/rtp/239.253.92.82:8013,0.69
CCTV5+,http://115.171.216.209:4000/rtp/225.1.8.20:8004,0.65
CCTV5+,http://175.173.198.22:9001/rtp/232.0.0.93:1234,0.63
CCTV5+,http://222.128.86.76:8133/rtp/239.3.1.130:8004,0.62
CCTV5+,http://123.113.187.204:8000/rtp/239.3.1.130:8004,0.61
CCTV5+,http://123.113.189.90:8001/rtp/239.3.1.130:8004,0.61
CCTV5+,http://114.243.110.0:4000/rtp/239.3.1.130:8004,0.61
CCTV5+,http://222.129.139.229:8888/rtp/239.3.1.130:8004,0.61
CCTV5+,http://175.146.122.104:8888/rtp/232.0.0.93:1234,0.6
CCTV5+,http://114.254.85.102:8888/rtp/239.3.1.130:8004,0.6
CCTV5+,http://60.10.106.114:555/rtp/239.253.92.82:8013,0.58
CCTV6,http://175.173.198.22:9009/rtp/232.0.0.172:1234,1.83
CCTV6,http://175.173.198.22:9010/rtp/232.0.0.172:1234,1.28
CCTV6,http://175.173.198.22:9020/rtp/232.0.0.172:1234,1.23
CCTV6,http://221.219.79.161:4000/rtp/239.3.1.174:8001,1.01
CCTV6,http://114.246.96.72:4000/rtp/239.3.1.174:8001,1.01
CCTV6,http://123.121.2.167:4000/rtp/239.3.1.174:8001,1.0
CCTV6,http://111.196.129.152:20000/rtp/239.3.1.174:8001,0.83
CCTV6,http://114.252.238.87:8000/rtp/239.3.1.174:8001,0.79
CCTV6,http://123.118.229.243:9090/rtp/239.3.1.174:8001,0.78
CCTV6,http://123.118.159.0:8686/rtp/239.3.1.174:8001,0.73
CCTV6,http://60.2.190.206:4000/rtp/239.253.92.193:6058,0.69
CCTV6,http://115.171.216.209:4000/rtp/225.1.8.84:8000,0.65
CCTV6,http://175.173.198.22:9001/rtp/232.0.0.172:1234,0.63
CCTV6,http://222.128.86.76:8133/rtp/239.3.1.174:8001,0.62
CCTV6,http://123.113.187.204:8000/rtp/239.3.1.174:8001,0.61
CCTV6,http://123.113.189.90:8001/rtp/239.3.1.174:8001,0.61
CCTV6,http://114.243.110.0:4000/rtp/239.3.1.174:8001,0.61
CCTV6,http://222.129.139.229:8888/rtp/239.3.1.174:8001,0.61
CCTV6,http://175.146.122.104:8888/rtp/232.0.0.172:1234,0.6
CCTV6,http://114.254.85.102:8888/rtp/239.3.1.174:8001,0.6
CCTV6,http://60.10.106.114:555/rtp/239.253.92.193:6058,0.58
CCTV7,http://175.173.198.22:9009/rtp/232.0.0.136:1234,1.83
CCTV7,http://175.173.198.22:9010/rtp/232.0.0.136:1234,1.28
CCTV7,http://175.173.198.22:9020/rtp/232.0.0.136:1234,1.23
CCTV7,http://221.219.79.161:4000/rtp/239.3.1.61:8104,1.01
CCTV7,http://114.246.96.72:4000/rtp/239.3.1.61:8104,1.01
CCTV7,http://123.121.2.167:4000/rtp/239.3.1.61:8104,1.0
CCTV7,http://111.196.129.152:20000/rtp/239.3.1.61:8104,0.83
CCTV7,http://114.252.238.87:8000/rtp/239.3.1.61:8104,0.79
CCTV7,http://123.118.229.243:9090/rtp/239.3.1.61:8104,0.78
CCTV7,http://123.118.159.0:8686/rtp/239.3.1.61:8104,0.73
CCTV7,http://60.2.190.206:4000/rtp/239.253.92.194:6059,0.69
CCTV7,http://115.171.216.209:4000/rtp/225.1.8.7:8104,0.65
CCTV7,http://175.173.198.22:9001/rtp/232.0.0.136:1234,0.63
CCTV7,http://222.128.86.76:8133/rtp/239.3.1.61:8104,0.62
CCTV7,http://123.113.187.204:8000/rtp/239.3.1.61:8104,0.61
CCTV7,http://123.113.189.90:8001/rtp/239.3.1.61:8104,0.61
CCTV7,http://114.243.110.0:4000/rtp/239.3.1.61:8104,0.61
CCTV7,http://222.129.139.229:8888/rtp/239.3.1.61:8104,0.61
CCTV7,http://175.146.122.104:8888/rtp/232.0.0.136:1234,0.6
CCTV7,http://114.254.85.102:8888/rtp/239.3.1.61:8104,0.6
CCTV7,http://60.10.106.114:555/rtp/239.253.92.194:6059,0.58
CCTV8,http://175.173.198.22:9009/rtp/232.0.0.173:1234,1.83
CCTV8,http://175.173.198.22:9010/rtp/232.0.0.173:1234,1.28
CCTV8,http://175.173.198.22:9020/rtp/232.0.0.173:1234,1.23
CCTV8,http://221.219.79.161:4000/rtp/239.3.1.175:8001,1.01
CCTV8,http://114.246.96.72:4000/rtp/239.3.1.175:8001,1.01
CCTV8,http://123.121.2.167:4000/rtp/239.3.1.175:8001,1.0
CCTV8,http://111.196.129.152:20000/rtp/239.3.1.175:8001,0.83
CCTV8,http://114.252.238.87:8000/rtp/239.3.1.175:8001,0.79
