奥运2024频道,#genre#
ELTA奥运1台,https://api.btbt.im/live?id=elta-oly1
ELTA奥运2台,https://api.btbt.im/live?id=elta-oly2
ELTA奥运3台,https://api.btbt.im/live?id=elta-oly3
ELTA奥运4台,https://api.btbt.im/live?id=elta-oly4
ELTA奥运5台,https://api.btbt.im/live?id=elta-oly5
ELTA奥运6台,https://api.btbt.im/live?id=elta-oly6
ELTA奥运7台,https://api.btbt.im/live?id=elta-oly7
Astro OLY 1,https://api.btbt.im/live?id=astro-oly1
Astro OLY 2,https://api.btbt.im/live?id=astro-oly2
Astro OLY 3,https://api.btbt.im/live?id=astro-oly3
Astro OLY 4,https://api.btbt.im/live?id=astro-oly4
Astro OLY 5,https://api.btbt.im/live?id=astro-oly5
MyTVSuper奥运801,https://api.btbt.im/live?id=mytvsuper-oly801
MyTVSuper奥运802,https://api.btbt.im/live?id=mytvsuper-oly802
MyTVSuper奥运803,https://api.btbt.im/live?id=mytvsuper-oly803
MyTVSuper奥运804,https://api.btbt.im/live?id=mytvsuper-oly804
MyTVSuper奥运805,https://api.btbt.im/live?id=mytvsuper-oly805
MyTVSuper奥运806,https://api.btbt.im/live?id=mytvsuper-oly806
MyTVSuper奥运807,https://api.btbt.im/live

央视频道,#genre#
宁夏卫视,http://110.241.190.30:808/hls/41/index.m3u8
宁夏卫视,http://113.9.149.250:88/hls/60/index.m3u8
宁夏卫视,http://113.9.152.139:88/hls/60/index.m3u8
宁夏卫视,http://113.9.152.139:88:9003/hls/110/index.m3u8
安徽卫视,http://110.241.190.30:808/hls/29/index.m3u8
安徽卫视,http://113.57.109.48:1111/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://113.9.149.250:88/hls/36/index.m3u8
安徽卫视,http://113.9.152.139:88/hls/36/index.m3u8
安徽卫视,http://113.9.152.139:88:9003/hls/97/index.m3u8
安徽卫视,http://59.44.203.42:9901http://www.zhongyunkj.com:58008/paiptv/ahws.m3u8
山东卫视,http://110.241.190.30:808/hls/24/index.m3u8
山东卫视,http://113.57.109.48:1111/tsfile/live/1029_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://113.9.149.250:88/hls/43/index.m3u8
山东卫视,http://113.9.152.139:88/hls/43/index.m3u8
山东卫视,http://113.9.152.139:88:9003/hls/88/index.m3u8
山东教育卫视,http://113.9.149.250:88/hls/120/index.m3u8
山东教育卫视,http://113.9.152.139:88/hls/131/index.m3u8
山西卫视,http://110.241.190.30:808/hls/38/index.m3u8
山西卫视,http://113.9.149.250:88/hls/47/index.m3u8
山西卫视,http://113.9.152.139:88/hls/47/index.m3u8
山西卫视,http://113.9.152.139:88:9003/hls/103/index.m3u8
广东卫视,http://110.241.190.30:808/hls/25/index.m3u8
广东卫视,http://113.57.109.48:1111/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://113.9.149.250:88/hls/38/index.m3u8
广东卫视,http://113.9.152.139:88/hls/38/index.m3u8
广东卫视,http://113.9.152.139:88:9003/hls/89/index.m3u8
广西卫视,http://110.241.190.30:808/hls/35/index.m3u8
广西卫视,http://113.9.149.250:88/hls/48/index.m3u8
广西卫视,http://113.9.152.139:88/hls/48/index.m3u8
广西卫视,http://113.9.152.139:88:9003/hls/99/index.m3u8
康巴卫视,http://113.9.152.139:88/hls/131/index.m3u8
延边卫视,http://113.9.149.250:88/hls/29/index.m3u8
延边卫视,http://113.9.152.139:88/hls/29/index.m3u8
延边卫视,http://113.9.152.139:88:9003/hls/108/index.m3u8
新疆卫视,http://110.241.190.30:808/hls/43/index.m3u8
新疆卫视,http://113.9.149.250:88/hls/56/index.m3u8
新疆卫视,http://113.9.152.139:88/hls/56/index.m3u8
新疆卫视,http://113.9.152.139:88:9003/hls/83/index.m3u8
旅游卫视,http://110.241.190.30:808/hls/45/index.m3u8
江苏卫视,http://110.241.190.30:808/hls/20/index.m3u8
